NAME,CURRENCYISOCODE,PSE__START_DATE__C,PSE__END_DATE__C,PSE__TYPE__C
Oct FY2012,USD,10/1/2012,10/31/2012,Month
Nov FY2012,USD,11/1/2012,11/30/2012,Month
Dec FY2012,USD,12/1/2012,12/31/2012,Month
Jan FY2013,USD,1/1/2013,1/31/2013,Month
Feb FY2013,USD,2/1/2013,2/28/2013,Month
Mar FY2013,USD,3/1/2013,3/31/2013,Month
Apr FY2013,USD,4/1/2013,4/30/2013,Month
May FY2013,USD,5/1/2013,5/31/2013,Month
Jun FY2013,USD,6/1/2013,6/30/2013,Month
Jul FY2013,USD,7/1/2013,7/31/2013,Month
Aug FY2013,USD,8/1/2013,8/31/2013,Month
Sep FY2013,USD,9/1/2013,9/30/2013,Month
Oct FY2013,USD,10/1/2013,10/31/2013,Month
Nov FY2013,USD,11/1/2013,11/30/2013,Month
Dec FY2013,USD,12/1/2013,12/31/2013,Month
Jan FY2014,USD,1/1/2014,1/31/2014,Month
Feb FY2014,USD,2/1/2014,2/28/2014,Month
Mar FY2014,USD,3/1/2014,3/31/2014,Month
Apr FY2014,USD,4/1/2014,4/30/2014,Month
May FY2014,USD,5/1/2014,5/31/2014,Month
Jun FY2014,USD,6/1/2014,6/30/2014,Month
Jul FY2014,USD,7/1/2014,7/31/2014,Month
Aug FY2014,USD,8/1/2014,8/31/2014,Month
Sep FY2014,USD,9/1/2014,9/30/2014,Month
Oct FY2014,USD,10/1/2014,10/31/2014,Month
Nov FY2014,USD,11/1/2014,11/30/2014,Month
Dec FY2014,USD,12/1/2014,12/31/2014,Month
Jan FY2015,USD,1/1/2015,1/31/2015,Month
Feb FY2015,USD,2/1/2015,2/28/2015,Month
Mar FY2015,USD,3/1/2015,3/31/2015,Month
Apr FY2015,USD,4/1/2015,4/30/2015,Month
May FY2015,USD,5/1/2015,5/31/2015,Month
Jun FY2015,USD,6/1/2015,6/30/2015,Month
Jul FY2015,USD,7/1/2015,7/31/2015,Month
Aug FY2015,USD,8/1/2015,8/31/2015,Month
Sep FY2015,USD,9/1/2015,9/30/2015,Month
Oct FY2015,USD,10/1/2015,10/31/2015,Month
Nov FY2015,USD,11/1/2015,11/30/2015,Month
Dec FY2015,USD,12/1/2015,12/31/2015,Month
Q1 FY2009,USD,1/1/2009,3/31/2009,Quarter
Q2 FY2009,USD,4/1/2009,6/30/2009,Quarter
Q3 FY2009,USD,7/1/2009,9/30/2009,Quarter
Q4 FY2009,USD,10/1/2009,12/31/2009,Quarter
Q1 FY2010,USD,1/1/2010,3/31/2010,Quarter
Q2 FY2010,USD,4/1/2010,6/30/2010,Quarter
Q3 FY2010,USD,7/1/2010,9/30/2010,Quarter
Q4 FY2010,USD,10/1/2010,12/31/2010,Quarter
Q1 FY2011,USD,1/1/2011,3/31/2011,Quarter
Q2 FY2011,USD,4/1/2011,6/30/2011,Quarter
Q3 FY2011,USD,7/1/2011,9/30/2011,Quarter
Q4 FY2011,USD,10/1/2011,12/31/2011,Quarter
Q1 FY2012,USD,1/1/2012,3/31/2012,Quarter
Q2 FY2012,USD,4/1/2012,6/30/2012,Quarter
Q3 FY2012,USD,7/1/2012,9/30/2012,Quarter
Q4 FY2012,USD,10/1/2012,12/31/2012,Quarter
Q1 FY2013,USD,1/1/2013,3/31/2013,Quarter
Q2 FY2013,USD,4/1/2013,6/30/2013,Quarter
Q3 FY2013,USD,7/1/2013,9/30/2013,Quarter
Q4 FY2013,USD,10/1/2013,12/31/2013,Quarter
Q1 FY2014,USD,1/1/2014,3/31/2014,Quarter
Q2 FY2014,USD,4/1/2014,6/30/2014,Quarter
Q3 FY2014,USD,7/1/2014,9/30/2014,Quarter
Q4 FY2014,USD,10/1/2014,12/31/2014,Quarter
Q1 FY2015,USD,1/1/2015,3/31/2015,Quarter
Q2 FY2015,USD,4/1/2015,6/30/2015,Quarter
Q3 FY2015,USD,7/1/2015,9/30/2015,Quarter
Q4 FY2015,USD,10/1/2015,12/31/2015,Quarter
